Action,Copy,Path,Description,Notes
Exclude,0,AppData\Local\Apps,Microsoft Windows,Office add-ins and other apps. May impact performance if excluded
Exclude,0,AppData\Local\Downloaded Installations,Microsoft Windows,May break per-user installed apps
Exclude,0,AppData\Local\Assembly,.NET Framework Shadow Copies,May impact performance of .NET apps
Exclude,0,AppData\Local\CrashDumps,Windows application crash dumps,Omit if you need to keep crash dumps for troubleshooting
Exclude,0,AppData\Local\Microsoft\Terminal Server Client,Microsoft Remote Desktop Client cache,Omit if not using Remote Desktop Connection client inside a remote desktop
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Cache,Google Chrome cache,Google Chrome brower cache - size can also be managed via policy
Exclude,0,AppData\Local\Microsoft\Edge SxS\User Data\Default\Cache,Microsoft Edge (Chromium) cache,Microsoft Edge (Chromium) cache - size can also be managed via policy
Exclude,0,AppData\Roaming\Microsoft\Teams\media-stack,Microsoft Teams stack tracing folder, Details here https://docs.microsoft.com/en-us/microsoftteams/teams-for-vdi#teams-cached-content-exclusion-list-for-non-persistent-setup
Exclude,0,AppData\Roaming\Microsoft\Teams\Service Worker,Microsot Teams service worker folder,Details here https://techcommunity.microsoft.com/t5/fslogix-blog/teams-setup-rapidly-grows-my-profile-disk/ba-p/1539064
Exclude,0,AppData\Roaming\Microsoft\Teams\meeting-addin\Cache,Microsoft Teams addins cache folder,Details here https://docs.microsoft.com/en-us/microsoftteams/teams-for-vdi#non-persistent-setup
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Cached Theme Images,Theme Images ,
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIcons,,
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Cached Theme Images,,
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\JumpListIconsOld,,
Exclude,0,AppData\Local\GroupPolicy,,
Exclude,0,AppData\Local\Microsoft\AppV,,
Exclude,0,AppData\Local\Microsoft\Messenger,,
Exclude,0,AppData\Local\Microsoft\Office\15.0\Lync\Tracing,,
Exclude,0,AppData\Local\Microsoft\OneNote,,
Exclude,0,AppData\Local\Microsoft\Outlook,,
Exclude,0,AppData\Local\Microsoft\UEV,,
Exclude,0,AppData\Local\Microsoft\Windows Live,,
Exclude,0,AppData\Local\Microsoft\Windows Live Contacts,,
Exclude,0,AppData\Local\Microsoft\Windows\Application Shortcuts,,
Exclude,0,AppData\Local\Microsoft\Windows\Burn,,
Exclude,0,AppData\Local\Microsoft\Windows\CD Burn,,
Exclude,0,AppData\Local\Microsoft\Windows\Notifications,,
Exclude,0,AppData\Local\Packages,,
Exclude,0,AppData\Local\Sun,,
Exclude,0,AppData\Local\Windows Live,,
Exclude,0,AppData\Local\Temp,,
Exclude,0,AppData\Local\Microsoft\AppV\Client\Catalog,,
Exclude,0,AppData\Sun\Java\Deployment\Cache,,
Exclude,0,AppData\Sun\Java\Deployment\log,,
Exclude,0,AppData\Sun\Java\Deployment\tmp,,
Exclude,0,$Recycle.Bin,,
Exclude,0,AppData\LocalLow,,
Exclude,0,Tracing,,
Exclude,0,AppData\Local\Microsoft\Windows\INetCache,,
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\IndexedDB,,
Exclude,0,AppData\Local\Microsoft\Power BI Desktop\TempSaves,,
Exclude,0,AppData\Local\Microsoft\Power BI Desktop\CEF\cache,,
Exclude,0,AppData\Local\Microsoft\Office\16.0\OfficeFileCache,,
Exclude,0,AppData\Local\GoToMeeting,,
Exclude,0,AppData\Local\Microsoft\Windows\WER,,
Exclude,0,AppData\Local\Microsoft\Office\16.0\PowerQuery\Cache,,
Exclude,0,AppData\Local\Microsoft\OneNote\15.0\OneNoteOfflineCache_Files,,
Exclude,0,Downloads,,
Exclude,0,Appdata\Local\Google\Chrome\User Data\Default\JumpListIconsMostVisited,,
Exclude,0,Appdata\Local\Google\Chrome\User Data\Default\JumpListIconsRecentClosed,,
Exclude,0,AppData\Local\Google\Chrome\User Data\Default\Media Cache,,
Exclude,0,AppData\Local\TileDataLayer,,
Exclude,0,AppData\Local\Microsoft\Windows\Caches,,
Exclude,0,AppData\Roaming\Microsoft\Teams\Logs,,
Exclude,0,AppData\Roaming\Microsoft\Teams\Application Cache,,
Exclude,0,AppData\Roaming\Microsoft\Teams\Cache,,
Exclude,0,AppData\Roaming\Microsoft\Teams\GPUCache,,
